,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
114,684,11,missing,missing,stress,stress,stress,unstress,stress,stress,stress,stress,unstress,missing,"['Feelin', 'like', 'there', 'nowhere', 'to', 'go', 'it', 'taking']",684,bsb,0.0,0.0
115,690,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['You', 'did', 'it', 'then', 'you', 'do', 'it', 'again', 'now', 'Im']",690,bsb,0.0,0.0
116,692,11,stress,stress,missing,missing,stress,stress,stress,stress,unstress,stress,stress,missing,"['Used', 'to', 'heatin', 'up', 'in', 'the', 'shower', 'at', 'it']",692,bsb,0.0,0.0
117,693,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,missing,"['The', 'more', 'I', 'think', 'about', 'how', 'we', 'were', 'the', 'more']",693,bsb,0.5,0.5
118,704,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,"['Baby', 'it', 'the', 'way', 'you', 'make', 'me', 'Kinda', 'get']",704,bsb,0.0,0.0
119,718,11,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,stress,missing,"['Turn', 'that', 'music', 'way', 'down', 'low', 'Well', 'take', 'it', 'nice']",718,bsb,0.14814814814814814,0.5296296296296297
120,743,11,stress,unstress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,"['Looking', 'at', 'your', 'picture', 'from', 'when', 'we', 'first', 'met']",743,bsb,0.25,0.3333333333333333
121,748,11,stress,stress,stress,stress,stress,stress,missing,stress,stress,stress,stress,missing,"['But', 'still', 'I', 'have', 'to', 'say', '(but', 'still', 'I', 'have', 'to']",748,bsb,0.0,0.0
122,750,11,stress,stress,stress,stress,stress,stress,stress,missing,stress,stress,stress,missing,"['And', 'I', 'just', 'want', 'you', 'to', 'know', '(cause', 'I', 'cant', 'fight']",750,bsb,0.0,0.0
123,779,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,missing,"['Looking', 'at', 'the', 'crowd', 'and', 'I', 'see', 'your', 'body']",779,bsb,0.0,0.0
124,782,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,missing,"['But', 'all', 'I', 'wanna', 'know', 'is', 'where', 'the', 'party']",782,bsb,0.0,0.0
125,783,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,missing,"['But', 'all', 'I', 'wanna', 'know', 'is', 'where', 'the', 'party']",783,bsb,0.0,0.0
126,784,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,missing,"['But', 'all', 'I', 'wanna', 'know', 'is', 'where', 'the', 'party']",784,bsb,0.0,0.0
127,785,11,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,unstress,missing,"['The', 'mad', 'fun', 'has', 'just', 'began', 'at', 'the', 'party']",785,bsb,-0.1625,0.6
128,787,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,missing,"['But', 'all', 'I', 'wanna', 'know', 'is', 'where', 'the', 'party']",787,bsb,0.0,0.0
129,788,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,missing,"['But', 'all', 'I', 'wanna', 'know', 'is', 'where', 'the', 'party']",788,bsb,0.0,0.0
